"DB","Lange","Hohe","Name","Kommentar"
"47","9.17256613","48.89297559","Freitag, den 01.02.2019 um 12:49 Uhr",NULL
"47","9.17333881","48.89302638","Freitag, den 01.02.2019 um 12:49 Uhr",NULL
"48","9.17418343","48.8929829","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"63","9.17418207","48.89299546","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"61","9.1742639","48.89299232","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"76","9.1743108","48.89298777","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"78","9.17429878","48.89298878","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"74","9.17421169","48.89303245","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"44","9.17523941","48.89315093","Freitag, den 01.02.2019 um 12:50 Uhr",NULL
"51","9.1765548","48.89334681","Freitag, den 01.02.2019 um 12:51 Uhr",NULL
"60","9.17667431","48.89334971","Freitag, den 01.02.2019 um 12:51 Uhr",NULL
"75","9.1771313","48.89335535","Freitag, den 01.02.2019 um 12:51 Uhr",NULL
"53","9.17896293","48.89347274","Freitag, den 01.02.2019 um 12:51 Uhr",NULL
"68","9.18153723","48.89368646","Freitag, den 01.02.2019 um 12:52 Uhr",NULL
"56","9.18297843","48.89411214","Freitag, den 01.02.2019 um 12:52 Uhr",NULL
"70","9.18355509","48.89345596","Freitag, den 01.02.2019 um 12:52 Uhr",NULL
"77","9.18375128","48.89222737","Freitag, den 01.02.2019 um 12:52 Uhr",NULL
"66","9.18361402","48.89194882","Freitag, den 01.02.2019 um 12:52 Uhr",NULL
"70","9.18364139","48.89154789","Freitag, den 01.02.2019 um 12:53 Uhr",NULL
"72","9.18372184","48.89042175","Freitag, den 01.02.2019 um 12:53 Uhr",NULL
"77","9.18416139","48.89016431","Freitag, den 01.02.2019 um 12:53 Uhr",NULL
"75","9.18539655","48.88964795","Freitag, den 01.02.2019 um 12:53 Uhr",NULL
"73","9.18727063","48.88905896","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"67","9.1876958","48.88899421","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"77","9.18820337","48.88901356","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"68","9.1886699","48.8894307","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"78","9.18772354","48.89009704","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"77","9.18788631","48.88992125","Freitag, den 01.02.2019 um 12:54 Uhr",NULL
"52","9.18742132","48.89062653","Freitag, den 01.02.2019 um 12:55 Uhr",NULL
"72","9.18689241","48.89127199","Freitag, den 01.02.2019 um 12:55 Uhr",NULL
"70","9.18636304","48.89170407","Freitag, den 01.02.2019 um 12:55 Uhr",NULL
"57","9.18638676","48.89170618","Freitag, den 01.02.2019 um 12:56 Uhr",NULL
"78","9.18639374","48.89171084","Freitag, den 01.02.2019 um 12:56 Uhr",NULL
"54","9.18639421","48.89171084","Freitag, den 01.02.2019 um 12:57 Uhr",NULL
"60","9.186404","48.8917129","Freitag, den 01.02.2019 um 12:58 Uhr",NULL
"74","9.18646255","48.89171133","Freitag, den 01.02.2019 um 12:59 Uhr",NULL
"58","9.18648065","48.89172227","Freitag, den 01.02.2019 um 12:59 Uhr",NULL
"62","9.18626085","48.89201326","Freitag, den 01.02.2019 um 12:59 Uhr",NULL
"67","9.18606689","48.89236327","Freitag, den 01.02.2019 um 12:59 Uhr",NULL
"61","9.18688018","48.8930755","Freitag, den 01.02.2019 um 12:59 Uhr",NULL
"61","9.18824175","48.89502257","Freitag, den 01.02.2019 um 13:00 Uhr",NULL
"70","9.18824224","48.89533511","Freitag, den 01.02.2019 um 13:00 Uhr",NULL
